Sno,ID,Subject,Subject Code,Type,Year,Branch,Acad Year,Sem,Credits
43,N241053,Physics-IV,23PPY2201,Core-3,P2,PUC,2025-26,Semester II,4
44,N241053,Physics Lab – IV,23PPY2210,Core-4,P2,PUC,2025-26,Semester II,1
45,N241053,Chemistry – IV,23PCY2201,Core-5,P2,PUC,2025-26,Semester II,4
46,N241053,Chemistry Lab –IV,23PCY2210,Core-6,P2,PUC,2025-26,Semester II,1
47,N241053,Telugu – IV,23PTE2201,Core-7,P2,PUC,2025-26,Semester II,3
48,N241053,Python Programming Language,23PIT2201,Core-8,P2,PUC,2025-26,Semester II,2
49,N241053,Python Programming Language Lab,23PIT2210,Core-9,P2,PUC,2025-26,Semester II,1
50,N221084,Robotics Laboratory,23EC2285,ESC-1,E2,ECE,2025-26,Semester II,2.5
51,N221084,Foundations to Artificial Intelligence,23EC2205,ESC-2,E2,ECE,2025-26,Semester II,1
52,N221084,Communication Systems-1,23EC2201,PCC-1,E2,ECE,2025-26,Semester II,4
53,N221084,Communication Systems-1 Lab,23EC2281,PCC-2,E2,ECE,2025-26,Semester II,1.5
54,N221084,Digital System Design,23EC2202,PCC-3,E2,ECE,2025-26,Semester II,3
55,N221084,Digital System Design Lab,23EC2282,PCC-4,E2,ECE,2025-26,Semester II,1.5
56,N221084,Linear Integrated Circuits,23EC2203,PCC-5,E2,ECE,2025-26,Semester II,4
57,N221084,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,ECE,2025-26,Semester II,1.5
58,N221084,Electromagnetic Waves & Guided Media,23EC2204,PCC-7,E2,ECE,2025-26,Semester II,4
59,N211083,English Language Communication Skills Lab-III,23EG3283,HSC-1,E3,MME,2025-26,Semester II,1.5
60,N211083,Managerial Economics and Financial Analysis,23BM3201,HSC-2,E3,MME,2025-26,Semester II,3
61,N211083,Metal Joining and Non- Destructive Testing,23MM3201,PCC-1,E3,MME,2025-26,Semester II,3
62,N211083,Computational Materials Engineering,23MM3202,PCC-2,E3,MME,2025-26,Semester II,3
